,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3282857-0056651,2G3282857-0056651,328.2857,-0.5665,0.75,1.4,1.26,1.33,0.24,39,116,0.44,0.07,0.54,R,,1G328288-005656,G328.279-00.559,,,Simbad,239.5777,-53.9725
2G3137928+0070900,2G3137928+0070900,313.7929,0.709,0.3,0.94,0.61,0.79,0.27,115,137,0.76,0.3,0.57,R,,1G313791+007065,G313.790+00.705,,S121,Simbad,215.1859,-60.2659
2G0117612-0007093,2G0117612-0007093,11.7612,-0.0709,0.03,0.16,0.12,0.14,0.03,72,46,0.65,,0.25,C,,,G011.761-00.071,,,Simbad,272.9101,-18.7828
2G0286040-0037144,2G0286040-0037144,28.604,-0.3714,0.34,0.83,0.56,0.71,0.15,61,63,0.74,0.34,0.27,R,,1G028601-003690,G028.600-00.376,,,Simbad,281.2142,-4.0207
2G3413574-0028753,2G3413574-0028753,341.3575,-0.2875,0.14,0.83,0.64,0.74,0.2,67,84,0.64,0.47,0.41,R,,1G341358-002876,G341.358-00.287,,S21,Simbad,253.2804,-44.3877
2G3266875-0045366,2G3266875-0045366,326.6876,-0.4537,0.5,2.13,1.69,1.92,0.24,53,76,0.61,,0.17,C,,1G326689-004543,G326.685-00.452,,,Simbad,237.3336,-54.9016
2G3201660+0079627,2G3201660+0079627,320.166,0.7963,0.23,1.31,1.02,1.17,0.23,17,106,0.63,0.17,0.4,R,,1G320159+007984,G320.163+00.797,2.4,S96,Simbad,226.3444,-57.5234
2G3094673-0010358,2G3094673-0010358,309.4673,-0.1036,0.16,0.46,0.4,0.43,0.22,33,102,0.52,0.15,0.13,R,,1G309467-001070,G309.468-00.105,,,Simbad,207.0108,-62.2549
2G3187755-0014313,2G3187755-0014313,318.7755,-0.1431,0.26,0.64,0.53,0.59,0.27,33,72,0.56,0.09,0.15,R,,1G318776-001478,G318.774-00.150,2.6,,Simbad,224.8873,-59.0163
2G0355434+0001109,2G0355434+0001109,35.5434,0.0111,0.15,0.75,0.7,0.72,0.11,29,64,0.38,0.18,0.39,R,,1G035544+000131,G035.543+00.006,10.1,N67,Simbad,284.041,2.3291
2G0355907-0003409,2G0355907-0003409,35.5907,-0.0341,0.14,0.89,0.48,0.72,0.09,30,77,0.84,0.13,0.2,R,D,1G035595-000291,,,,Simbad,284.1029,2.3505
