,dec_min,ra_min,dec_max,ra_max,fits_path
0,-0.46817992695882565,298.88641977025037,-0.4335735633725976,298.9208626409997,spitzer_30000+0000_rgb
0,0.8814106357171435,300.9546723130444,0.901250479268745,300.974624705423,spitzer_30000+0000_rgb
0,0.06496842382948242,300.36677880492596,0.08620060135153564,300.38831664650746,spitzer_30000+0000_rgb
0,-0.3156691862964331,299.3182620510882,-0.29694034533788816,299.33649186861425,spitzer_30000+0000_rgb
0,-0.5187424264532007,298.85902735515975,-0.5016935171184814,298.8760460724375,spitzer_30000+0000_rgb
0,-0.5908056988445471,298.6644707164803,-0.5712187442878125,298.6841793751374,spitzer_30000+0000_rgb
0,0.16733853999328124,299.5919677775178,0.17586197740804688,299.6001969441022,spitzer_30000+0000_rgb
0,-0.4086830200017114,300.0640745436301,-0.394389725873811,300.07846484296533,spitzer_30000+0000_rgb
0,-0.4673941196750171,301.0631471654753,-0.444352290478352,301.08674205456225,spitzer_30000+0000_rgb
0,0.006647949152270507,301.1259242644569,0.023936604578342284,301.1433163134366,spitzer_30000+0000_rgb
0,-0.15335554859665282,300.02571272760747,0.009824381412172851,300.18473193174646,spitzer_30000+0000_rgb
0,0.11821850467718993,299.0004342547873,0.14020263531672364,299.0225662532639,spitzer_30000+0000_rgb
0,-0.7654654871370117,300.22540738706886,-0.7460750657814368,300.24531461343224,spitzer_30000+0000_rgb
0,-0.5025981395052685,298.64779168018873,-0.49285896317036865,298.6574941540501,spitzer_30000+0000_rgb
0,-0.565904453976372,299.93888590555906,-0.5343632352162634,299.97084716826026,spitzer_30000+0000_rgb
0,-0.23224055757342774,299.3797107809425,-0.2185153786742212,299.39289144487316,spitzer_30000+0000_rgb
0,0.2601523411484766,298.6385221490315,0.2812187471878125,298.6592920055946,spitzer_30000+0000_rgb
0,0.0010013020733203124,299.1432858158588,0.017485514148061522,299.1604905682909,spitzer_30000+0000_rgb
0,0.11533862189348876,298.83183594918165,0.13427742378743407,298.85036199066303,spitzer_30000+0000_rgb
0,-0.008910481681728515,298.73682520794426,-1.9938150842285156e-05,298.74560580681475,spitzer_30000+0000_rgb
0,-0.28465266642430664,299.77177929915723,-0.2711001763254565,299.7856840841744,spitzer_30000+0000_rgb
0,0.010140217997556152,299.6533413120603,0.06722615492669677,299.71197135704693,spitzer_30000+0000_rgb
0,-0.175400063350166,300.4923059846603,-0.1573808578011914,300.51029833474075,spitzer_30000+0000_rgb
0,0.2130587543798291,298.89626433395404,0.22563883237902832,298.908778819506,spitzer_30000+0000_rgb
0,-0.23539957446892087,301.1143171275287,-0.2121753722272046,301.13889439779075,spitzer_30000+0000_rgb
0,-0.3551402145475561,298.8265711380364,-0.32098062830061036,298.8600618603577,spitzer_30000+0000_rgb
0,-0.9181656198873541,301.2324739053185,-0.9102107452924236,301.24056517314125,spitzer_30000+0000_rgb
0,-0.4420910600322143,298.85195508960544,-0.43021117733851316,298.86354802568746,spitzer_30000+0000_rgb
0,-0.09135253814897461,300.12107861207045,-0.0686787916309204,300.144138833194,spitzer_30000+0000_rgb
0,-0.016456298663562012,299.1278092535136,-0.008745442620878906,299.1355122156761,spitzer_30000+0000_rgb
